Year,Units,disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,attributable deaths,stroke,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1312
2010,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,20954
2011,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,19059
2012,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15135
2013,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,16453
2014,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15225
2015,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,14205
2016,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13053
2017,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,12653
2018,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13080
2019,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9607
2020,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8687
2021,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9628
2022,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8771
2023,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,6104
2010,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3461
2011,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3418
2012,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2937
2013,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3158
2014,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2921
2015,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2873
2016,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2627
2017,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2728
2018,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2798
2019,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2130
2020,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2073
2021,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2299
2022,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1886
2023,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1329
2010,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,466082
2011,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,435290
2012,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,375632
2013,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,378623
2014,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,362514
2015,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,332666
2016,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,315346
2017,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,301737
2018,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,324648
2019,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,239209
2020,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,212531
2021,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,232863
2010,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,61831
2011,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,58609
2012,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,45086
2013,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,52240
2014,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,49535
2015,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47272
2016,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,44747
2017,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,44603
2018,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47723
2019,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,35891
2020,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,30297
2021,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,33208
2010,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,93151
2011,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,90789
2012,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,71600
2013,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,79126
2014,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77664
2015,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,69196
2016,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,67119
2017,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,62554
2018,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,64883
2019,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,44184
2020,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,38727
2021,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,42369
2010,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,62160
2011,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,58210
2012,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,44838
2013,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48829
2014,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47444
2015,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,42715
2016,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,41450
2017,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,38548
2018,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,45482
2019,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,34343
2020,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,30352
2021,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,32740
2010,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,163080
2011,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,145398
2012,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,146061
2013,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,124202
2014,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,115991
2015,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,106496
2016,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,98426
2017,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,93285
2018,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97767
2019,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,71055
2020,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63809
2021,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,70197
2010,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,85860
2011,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,82284
2012,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68047
2013,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,74226
2014,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,71880
2015,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66987
2016,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63604
2017,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,62747
2018,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68793
2019,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,53736
2020,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,49346
2021,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,54349
