Year,Units,Time series,Mode of transport,Value
2012,Million passenger-kilometre,Passenger transport,Motorised private transport,914563.0
2013,Million passenger-kilometre,Passenger transport,Motorised private transport,921420.0
2014,Million passenger-kilometre,Passenger transport,Motorised private transport,934960.0
2015,Million passenger-kilometre,Passenger transport,Motorised private transport,945730.0
2016,Million passenger-kilometre,Passenger transport,Motorised private transport,965460.0
2017,Million passenger-kilometre,Passenger transport,Motorised private transport,
2018,Million passenger-kilometre,Passenger transport,Motorised private transport,
2010,Million tonne-kilometres,Freight transport,,627857.0
2011,Million tonne-kilometres,Freight transport,,627966.0
2012,Million tonne-kilometres,Freight transport,,618911.0
2013,Million tonne-kilometres,Freight transport,,636011.0
2014,Million tonne-kilometres,Freight transport,,643567.0
2015,Million tonne-kilometres,Freight transport,,651928.0
2016,Million tonne-kilometres,Freight transport,,666923.0
2017,Million tonne-kilometres,Freight transport,,
2018,Million tonne-kilometres,Freight transport,,
2010,Million tonne-kilometres,Freight transport,Road transport,440600.0
2011,Million tonne-kilometres,Freight transport,Road transport,442635.0
2012,Million tonne-kilometres,Freight transport,Road transport,431999.0
2013,Million tonne-kilometres,Freight transport,Road transport,443681.0
2014,Million tonne-kilometres,Freight transport,Road transport,452939.0
2015,Million tonne-kilometres,Freight transport,Road transport,460200.0
2016,Million tonne-kilometres,Freight transport,Road transport,464000.0
2017,Million tonne-kilometres,Freight transport,Road transport,
2018,Million tonne-kilometres,Freight transport,Road transport,
2010,Million tonne-kilometres,Freight transport,Rail transport,107292.0
2011,Million tonne-kilometres,Freight transport,Rail transport,113201.0
2012,Million tonne-kilometres,Freight transport,Rail transport,110797.0
2013,Million tonne-kilometres,Freight transport,Rail transport,112670.0
2014,Million tonne-kilometres,Freight transport,Rail transport,112553.0
2015,Million tonne-kilometres,Freight transport,Rail transport,117252.0
2016,Million tonne-kilometres,Freight transport,Rail transport,128296.0
2017,Million tonne-kilometres,Freight transport,Rail transport,129361.0
2018,Million tonne-kilometres,Freight transport,Rail transport,
2010,Million tonne-kilometres,Freight transport,Inland waterway transport,62278.0
2011,Million tonne-kilometres,Freight transport,Inland waterway transport,55027.0
2012,Million tonne-kilometres,Freight transport,Inland waterway transport,58488.0
2013,Million tonne-kilometres,Freight transport,Inland waterway transport,60070.0
2014,Million tonne-kilometres,Freight transport,Inland waterway transport,59093.0
2015,Million tonne-kilometres,Freight transport,Inland waterway transport,55315.0
2016,Million tonne-kilometres,Freight transport,Inland waterway transport,54347.0
2017,Million tonne-kilometres,Freight transport,Inland waterway transport,55518.0
2018,Million tonne-kilometres,Freight transport,Inland waterway transport,46900.0
2010,Million tonne-kilometres,Freight transport,Commercial air transport,1428.0
2011,Million tonne-kilometres,Freight transport,Commercial air transport,1480.0
2012,Million tonne-kilometres,Freight transport,Commercial air transport,1420.0
2013,Million tonne-kilometres,Freight transport,Commercial air transport,1410.0
2014,Million tonne-kilometres,Freight transport,Commercial air transport,1441.0
2015,Million tonne-kilometres,Freight transport,Commercial air transport,1447.0
2016,Million tonne-kilometres,Freight transport,Commercial air transport,1519.0
2017,Million tonne-kilometres,Freight transport,Commercial air transport,1617.0
2018,Million tonne-kilometres,Freight transport,Commercial air transport,
2010,Million tonne-kilometres,Freight transport,Pipelines: crude oil,16259.0
2011,Million tonne-kilometres,Freight transport,Pipelines: crude oil,15623.0
2012,Million tonne-kilometres,Freight transport,Pipelines: crude oil,16207.0
2013,Million tonne-kilometres,Freight transport,Pipelines: crude oil,18180.0
2014,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17541.0
2015,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17714.0
2016,Million tonne-kilometres,Freight transport,Pipelines: crude oil,18761.0
2017,Million tonne-kilometres,Freight transport,Pipelines: crude oil,18239.0
2018,Million tonne-kilometres,Freight transport,Pipelines: crude oil,17225.0
