Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Employed persons,Food and beverage serving activities,.,,,
2014,Employed persons,Food and beverage serving activities,.,,,
2015,Employed persons,Food and beverage serving activities,.,,,
2016,Employed persons,Food and beverage serving activities,.,,,
2017,Employed persons,Food and beverage serving activities,.,,,
2018,Employed persons,Food and beverage serving activities,.,,,
2019,Employed persons,Food and beverage serving activities,.,,,
2020,Employed persons,Food and beverage serving activities,,,,1336699.0
2021,Employed persons,Food and beverage serving activities,,,,1457238.0
2022,Employed persons,Food and beverage serving activities,,,,1514878.0
2023,Employed persons,Food and beverage serving activities,,,,1541245.0
2010,Employed persons,Railway passenger transport,.,,,
2011,Employed persons,Railway passenger transport,.,,,
2012,Employed persons,Railway passenger transport,.,,,
2013,Employed persons,Railway passenger transport,.,,,
2014,Employed persons,Railway passenger transport,.,,,
2015,Employed persons,Railway passenger transport,.,,,
2016,Employed persons,Railway passenger transport,.,,,
2017,Employed persons,Railway passenger transport,.,,,
2018,Employed persons,Railway passenger transport,.,,,
2019,Employed persons,Railway passenger transport,.,,,
2020,Employed persons,Railway passenger transport,.,,,
2021,Employed persons,Railway passenger transport,.,,,
2022,Employed persons,Railway passenger transport,,,,25222.0
2023,Employed persons,Railway passenger transport,,,,25745.0
2010,Employed persons,Road passenger transport,.,,,
2011,Employed persons,Road passenger transport,.,,,
2012,Employed persons,Road passenger transport,.,,,
2013,Employed persons,Road passenger transport,.,,,
2014,Employed persons,Road passenger transport,.,,,
2015,Employed persons,Road passenger transport,.,,,
2016,Employed persons,Road passenger transport,.,,,
2017,Employed persons,Road passenger transport,.,,,
2018,Employed persons,Road passenger transport,.,,,
2019,Employed persons,Road passenger transport,.,,,
2020,Employed persons,Road passenger transport,.,,,
2021,Employed persons,Road passenger transport,.,,,
2022,Employed persons,Road passenger transport,,,,194485.0
2023,Employed persons,Road passenger transport,,,,205032.0
2010,Employed persons,Water passenger transport,.,,,
2011,Employed persons,Water passenger transport,.,,,
2012,Employed persons,Water passenger transport,.,,,
2013,Employed persons,Water passenger transport,.,,,
2014,Employed persons,Water passenger transport,.,,,
2015,Employed persons,Water passenger transport,.,,,
2016,Employed persons,Water passenger transport,.,,,
