Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,5704.318
2022,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,7960.565
2023,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,7014.711
2024,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6130.056
2010,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,3723.94
2011,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,3516.525
2012,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,3494.979
2013,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,4053.479
2014,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,3950.262
2015,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,4998.658
2016,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,4765.878
2017,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,4853.424
2018,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,4986.407
2019,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,5329.253
2020,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,5089.921
2021,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,4965.618
2022,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,6079.011
2023,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,5871.279
2024,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,6125.98
2010,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,48.328
2011,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,264.907
2012,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,26.829
2013,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,97.798
2015,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,171.186
2016,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,345.652
2017,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,383.678
2018,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,1766.679
2019,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,970.999
2020,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,1283.46
2021,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,1754.548
2022,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,814.424
2023,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,18.544
2024,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,48.711
2010,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,3.877
2011,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,36.794
2012,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,2.042
2013,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,7.521
2014,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,80.66
2015,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,235.243
2016,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,427.445
2017,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,502.297
2018,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,1239.469
2019,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,1449.036
2020,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,1251.384
2021,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,1477.098
2022,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,1493.748
2023,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,30.763
2024,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,42.136
