Year,Units,Measurement parameter,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,325.9
2013,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,457.2
2014,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,385.9
2015,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,685.3
2016,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,723.8
2017,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,783.3
2018,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,651.2
2019,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,709.9
2020,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1038.2
2021,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,908.9
2022,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1528.5
2023,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,738.0
2024,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,613.3
2010,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2011,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2012,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2013,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2014,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2015,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2016,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2017,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2018,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,60.1
2019,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,1.9
2020,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,79.7
2021,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,5.5
2022,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,8.6
2023,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2024,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,
2010,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2011,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2012,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2013,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2014,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2015,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2016,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2017,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2018,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,60.1
2019,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,1.9
2020,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,79.7
2021,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,5.5
2022,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,8.6
2023,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
2024,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,
