Year,Units,Zeitreihe,Value
2015,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5129577.676
2016,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5136238.901
2017,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5140828.639
2018,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5148571.637
2019,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5153851.601
2020,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",
2021,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",
2022,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",
2010,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.235
2011,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.247
2012,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.267
2013,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.289
2014,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.32
2015,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.347
2016,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.365
2017,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.378
2018,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.4
2019,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",14.415
2020,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",
2021,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",
2022,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",
