Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,|,,,19.3
2020,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,|,,,90.9
2012,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,42.8
2017,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,38.8
2020,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,|,,,13.1
2012,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,28.3
2017,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,27.3
2020,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,|,,,37.2
2020,b) Anzeigequote bei psychischer Gewalt,,,,,,,,3.6
2020,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,1.9
2020,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,3.6
2020,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,,,,1.3
2020,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,,,,5.6
2020,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,,,,4.6
2020,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,,,,26.0
2020,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,,,,59.0
2020,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,,,,5.2
2020,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,,,,2.8
2020,c) Anzeigequote bei sexueller Gewalt,,,,,,,,2.4
2020,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,,,,1.8
2020,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,,,,1.4
2020,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,,,,5.6
2020,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,,,,1.9
2020,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,,,,0.6
2020,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,,,,2.1
2020,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,,,,12.6
2020,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,,,,2.2
2020,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,,,,1.8
2020,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,,,,1.1
2020,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,,,,4.6
2020,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,,,,2.1
2020,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,,,,0.3
2020,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,,,,1.8
2020,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,,,,12.6
