Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,97.1
2021,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.8
2022,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,97.5
2023,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,93.2
2011,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,93.8
2012,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,93.8
2013,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,92.9
2014,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,94.2
2015,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,92.7
2016,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,92.6
2017,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,94.0
2018,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,95.0
2019,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,93.4
2020,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,96.0
2021,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,94.0
2022,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,93.4
2023,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,92.1
2011,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,89.6
2012,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,91.7
2013,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,90.0
2014,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,92.4
2015,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,92.2
2016,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,90.5
2017,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,91.6
2018,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,91.6
2019,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,90.4
2020,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,90.3
2021,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,90.7
2022,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,93.8
2023,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,93.2
2011,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.2
2012,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.5
2013,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,92.5
2014,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.6
2015,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,93.8
2016,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,93.6
2017,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.4
2018,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.5
2019,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.0
2020,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,95.0
2021,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,95.0
2022,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,94.7
2023,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,95.6
2011,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,93.7
2012,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,94.4
2013,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,93.2
2014,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,94.0
2015,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,93.4
2016,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,93.6
2017,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,94.0
2018,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,94.5
2019,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,93.5
2020,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,94.7
2021,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,93.9
2022,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,95.0
2023,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,x,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,6.845
2012,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,2.01
2013,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,1.565
2014,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,1.153
2015,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,0.293
2016,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,|,,,0.91
2017,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,1.553
2018,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,2.317
2019,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,1.859
2020,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,x,,,
2021,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,,,,4.248
2022,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,x,r,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,r,,,1.099
2024,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,99.587
2011,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.353
2012,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.599
2013,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.77
2014,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.85
2015,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.0
2016,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,|,,,99.962
2017,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.142
2018,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.501
2019,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,100.654
2020,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,101.097
2021,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,101.42
2022,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,101.881
2023,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,101.921
2024,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.591
2011,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.902
2012,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.489
2013,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.473
2014,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.612
2015,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,0.351
2016,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,|,,,0.382
2017,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.509
2018,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.634
2019,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.33
2020,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.426
2021,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.419
2022,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.312
2023,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,0.445
2024,Anzahl,Opfer nicht-sexueller Belästigung,60 Jahre und älter,Männlich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,,,,,,-0.154
2011,Anzahl,Opfer sexueller Belästigung,,,,,,0.132
2012,Anzahl,Opfer sexueller Belästigung,,,,,,0.244
2013,Anzahl,Opfer sexueller Belästigung,,,,,,0.302
2014,Anzahl,Opfer sexueller Belästigung,,,,,,0.531
2015,Anzahl,Opfer sexueller Belästigung,,,,,,1.197
2016,Anzahl,Opfer sexueller Belästigung,,,|,,,0.42
2017,Anzahl,Opfer sexueller Belästigung,,,,,,0.327
2018,Anzahl,Opfer sexueller Belästigung,,,,,,0.274
2019,Anzahl,Opfer sexueller Belästigung,,,,,,0.178
2020,Anzahl,Opfer sexueller Belästigung,,,,,,-0.014
2021,Anzahl,Opfer sexueller Belästigung,,,,,,0.099
2022,Anzahl,Opfer sexueller Belästigung,,,r,,,-0.143
2023,Anzahl,Opfer sexueller Belästigung,,,r,,,0.405
2024,Anzahl,Opfer sexueller Belästigung,,,,,,0.145
2010,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,
2011,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,
2012,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,
2013,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,4.691
2014,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,2.046
2015,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,0.844
2016,Anzahl,Opfer sexueller Belästigung,,Weiblich,|,,,0.74
2017,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,0.747
2018,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,0.843
2019,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,1.545
2020,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,2.48
