Year,Status,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2011,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2012,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2013,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2014,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2015,Vertragspartei,,,,4) Stockholmer Übereinkommen,1.0
2016,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2017,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2018,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2019,Vertragspartei,.,,,4) Stockholmer Übereinkommen,1.0
2020,Vertragspartei,,,,4) Stockholmer Übereinkommen,1.0
2021,Vertragspartei,…,,,4) Stockholmer Übereinkommen,1.0
2022,Vertragspartei,…,,,4) Stockholmer Übereinkommen,1.0
2023,Vertragspartei,…,,,4) Stockholmer Übereinkommen,1.0
2024,Vertragspartei,…,,,4) Stockholmer Übereinkommen,1.0
2025,Vertragspartei,…,,,4) Stockholmer Übereinkommen,1.0
2026,Vertragspartei,…,,,4) Stockholmer Übereinkommen,1.0
2010,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,1.0
2011,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2012,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2013,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2014,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,1.0
2015,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2016,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2017,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2018,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,1.0
2019,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2020,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2021,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,
2022,Berichtspflicht erfüllt,,,,4) Stockholmer Übereinkommen,1.0
2010,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2011,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2012,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2013,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2014,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2015,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2016,Vertragspartei,.,,,5) Minamata Übereinkommen,0.0
2017,Vertragspartei,.,,,5) Minamata Übereinkommen,1.0
2018,Vertragspartei,.,,,5) Minamata Übereinkommen,1.0
2019,Vertragspartei,.,,,5) Minamata Übereinkommen,1.0
2020,Vertragspartei,,,,5) Minamata Übereinkommen,1.0
2021,Vertragspartei,…,,,5) Minamata Übereinkommen,1.0
2022,Vertragspartei,…,,,5) Minamata Übereinkommen,1.0
2023,Vertragspartei,…,,,5) Minamata Übereinkommen,1.0
2024,Vertragspartei,…,,,5) Minamata Übereinkommen,1.0
2025,Vertragspartei,…,,,5) Minamata Übereinkommen,1.0
2026,Vertragspartei,…,,,5) Minamata Übereinkommen,1.0
2010,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2011,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2012,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2013,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2014,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2015,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2016,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2017,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,0.0
2018,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,0.0
2019,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,1.0
2020,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2021,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,1.0
2022,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2023,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,1.0
2024,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,
2025,Berichtspflicht erfüllt,,,,5) Minamata Übereinkommen,0.0
