Year,Units,Art der Empfänger/Bereitsteller,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2024,Kumulierte Anzahl,Nichtregierungsorganisation,,,,SMTA empfangen von Deutschland,1
2025,Kumulierte Anzahl,Nichtregierungsorganisation,,,,SMTA empfangen von Deutschland,6
2026,Kumulierte Anzahl,Nichtregierungsorganisation,p,,,SMTA empfangen von Deutschland,6
2010,Kumulierte Anzahl,Andere,‒,,,SMTA empfangen von Deutschland,0
2011,Kumulierte Anzahl,Andere,‒,,,SMTA empfangen von Deutschland,0
2012,Kumulierte Anzahl,Andere,‒,,,SMTA empfangen von Deutschland,0
2013,Kumulierte Anzahl,Andere,‒,,,SMTA empfangen von Deutschland,0
2014,Kumulierte Anzahl,Andere,‒,,,SMTA empfangen von Deutschland,0
2015,Kumulierte Anzahl,Andere,‒,,,SMTA empfangen von Deutschland,0
2016,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,2
2017,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,3
2018,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,3
2019,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,3
2020,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,4
2021,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,4
2022,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,4
2023,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,4
2024,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,5
2025,Kumulierte Anzahl,Andere,,,,SMTA empfangen von Deutschland,5
2026,Kumulierte Anzahl,Andere,p,,,SMTA empfangen von Deutschland,5
2010,Kumulierte Anzahl,Universität,‒,,,SMTA empfangen von Deutschland,0
2011,Kumulierte Anzahl,Universität,‒,,,SMTA empfangen von Deutschland,0
2012,Kumulierte Anzahl,Universität,‒,,,SMTA empfangen von Deutschland,0
2013,Kumulierte Anzahl,Universität,‒,,,SMTA empfangen von Deutschland,0
2014,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,1
2015,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,3
2016,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,5
2017,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,8
2018,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,8
2019,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,8
2020,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,8
2021,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,9
2022,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,9
2023,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,11
2024,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,13
2025,Kumulierte Anzahl,Universität,,,,SMTA empfangen von Deutschland,13
2026,Kumulierte Anzahl,Universität,p,,,SMTA empfangen von Deutschland,13
2010,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,84
2011,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,382
2012,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,1299
2013,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,2107
2014,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,2843
2015,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,3604
2016,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4214
2017,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4328
2018,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4441
2019,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4575
2020,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4678
2021,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4800
2022,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4877
2023,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4918
2024,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4932
2025,Kumulierte Anzahl,Einzelperson,,,,SMTA empfangen von Deutschland,4935
2026,Kumulierte Anzahl,Einzelperson,p,,,SMTA empfangen von Deutschland,4935
2010,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2011,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2012,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2013,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2014,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2015,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2016,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2017,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2018,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2019,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2020,Kumulierte Anzahl,INCREASE-Projekt,‒,,,SMTA empfangen von Deutschland,0
2021,Kumulierte Anzahl,INCREASE-Projekt,,,,SMTA empfangen von Deutschland,226
2022,Kumulierte Anzahl,INCREASE-Projekt,,,,SMTA empfangen von Deutschland,706
2023,Kumulierte Anzahl,INCREASE-Projekt,,,,SMTA empfangen von Deutschland,2396
2024,Kumulierte Anzahl,INCREASE-Projekt,,,,SMTA empfangen von Deutschland,4291
2025,Kumulierte Anzahl,INCREASE-Projekt,,,,SMTA empfangen von Deutschland,5655
2026,Kumulierte Anzahl,INCREASE-Projekt,p,,,SMTA empfangen von Deutschland,5758
2010,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,1411
2011,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,2305
2012,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,2617
2013,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,2927
2014,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,3244
2015,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,3703
2016,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,4140
2017,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,4408
2018,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,4681
2019,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,4900
2020,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,5169
2021,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,5480
2022,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,5757
2023,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,5884
2024,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,5901
2025,Kumulierte Anzahl,Unbekannt,,,,SMTA empfangen von Deutschland,5901
2026,Kumulierte Anzahl,Unbekannt,p,,,SMTA empfangen von Deutschland,5901
2010,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,2132
2011,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,3566
2012,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,5022
2013,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,6314
2014,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,7675
2015,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,9241
2016,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,10567
2017,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,11135
2018,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,11709
2019,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,12296
2020,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,12812
2021,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,13415
2022,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,13908
2023,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,14176
2024,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,14332
2025,Kumulierte Anzahl,,,,,SMTA gesendet von Deutschland,14490
2026,Kumulierte Anzahl,,p,,,SMTA gesendet von Deutschland,14610
2010,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2011,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2012,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2013,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2014,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2015,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2016,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2017,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2018,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2019,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2020,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2021,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2022,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2023,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2024,Kumulierte Anzahl,Kommerzielles Unternehmen,‒,,,SMTA gesendet von Deutschland,0
2025,Kumulierte Anzahl,Kommerzielles Unternehmen,,,,SMTA gesendet von Deutschland,1
