Year,Units,Zeitreihe,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,91.37
2021,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,57.34
2022,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,34.11
2023,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,19.77
2024,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,19.05
2010,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1027.28
2011,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1007.94
2012,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1031.44
2013,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,982.49
2014,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1063.47
2015,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1194.58
2016,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1262.1
2017,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1373.05
2018,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1513.12
2019,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1744.27
2020,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,1935.96
2021,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,2113.49
2022,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,2117.23
2023,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,2208.52
2024,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,2375.7
2010,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,199.78
2011,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,182.99
2012,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,169.1
2013,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,140.74
2014,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,82.32
2015,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,116.65
2016,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,104.19
2017,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,93.9
2018,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,89.08
2019,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,87.26
2020,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,93.85
2021,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,52.99
2022,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,25.16
2023,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,18.01
2024,"Millionen USD, konstante Preise (2024)",Stipendien,Bruttoentwicklungsausgaben,,,,20.12
