Year,Units,Art der Abfallbehandlung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,Prozent,,,,,b) Behandelte gefährliche Abfälle,19.7
2024,Prozent,,|,,,b) Behandelte gefährliche Abfälle,20.9
2010,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2011,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.3
2013,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.3
2014,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.5
2015,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.4
2016,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.7
2017,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.6
2018,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.9
2019,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.9
2020,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,3.3
2021,Prozent,Energierückgewinnung,|,,,b) Behandelte gefährliche Abfälle,3.3
2022,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,3.6
2023,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,4.1
2024,Prozent,Energierückgewinnung,|,,,b) Behandelte gefährliche Abfälle,4.7
2010,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2011,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2013,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2014,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2015,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2016,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2017,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2018,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2019,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2020,Prozent,Verbrennung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2021,Prozent,Verbrennung,|,,,b) Behandelte gefährliche Abfälle,0.4
2022,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,1.3
2023,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,1.2
2024,Prozent,Verbrennung,|,,,b) Behandelte gefährliche Abfälle,1.3
2010,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2011,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2013,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2014,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2015,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2016,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2017,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2018,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2019,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2020,Prozent,Verwertung anderer als die der Energierückgewinnung,‒,,,b) Behandelte gefährliche Abfälle,0.0
2021,Prozent,Verwertung anderer als die der Energierückgewinnung,|,,,b) Behandelte gefährliche Abfälle,0.6
2022,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.2
2023,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,2.0
2024,Prozent,Verwertung anderer als die der Energierückgewinnung,|,,,b) Behandelte gefährliche Abfälle,1.7
2010,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2011,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2013,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2014,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2015,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2016,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2017,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2018,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2019,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2020,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,‒,,,b) Behandelte gefährliche Abfälle,0.0
2021,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,|,,,b) Behandelte gefährliche Abfälle,0.3
2022,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,0.5
2023,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,0.4
2024,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,|,,,b) Behandelte gefährliche Abfälle,0.9
