Year,Units,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.3
2017,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.3
2018,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.6
2019,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,8.5
2020,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),|,,,9.9
2021,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.6
2022,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,8.0
2023,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,7.9
2024,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,8.7
2010,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2011,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2012,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2013,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2014,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2015,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,13.0
2016,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2017,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,10.0
2018,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2019,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.0
2020,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2021,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,8.0
2022,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),.,,,
2023,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,11.0
2024,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,
