Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,1754.548
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,814.424
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,18.544
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,48.711
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,3.877
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,36.794
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,2.042
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,7.521
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,80.66
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,235.243
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,427.445
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,502.297
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1239.469
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1449.036
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1251.384
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1477.098
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1493.748
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,30.763
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,42.136
