Year,Units,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,r,,,95.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,r,,,85.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,r,,,93.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,|,r,,94.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,r,,,99.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,r,,,109.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,139.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,4797.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,5125.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,5438.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,5293.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,5463.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,5446.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,5894.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,r,,,5565.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,r,,,6020.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,r,,,5637.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,r,,,6486.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,|,r,,6245.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,r,,,6542.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,r,,,6985.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,,,,,7309.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,4192.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,4468.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,4801.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,4672.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,4761.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,4734.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,5097.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,r,,,4802.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,r,,,5198.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,r,,,4727.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,r,,,5487.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,|,r,,5227.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,r,,,5461.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,r,,,5753.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Female,,,,5948.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,605.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,657.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,637.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,621.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,702.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,712.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,797.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,r,,,763.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,r,,,822.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,r,,,910.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,r,,,999.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,|,r,,1018.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,r,,,1081.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,r,,,1232.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",18 to under 21 years,Male,,,,1361.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,663.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,713.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,704.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,732.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,716.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,768.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,780.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,r,,,750.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,r,,,809.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,r,,,738.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,r,,,797.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,|,r,,790.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,r,,,786.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,r,,,909.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,,,,,917.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,592.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,618.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,626.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,668.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,638.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,671.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,702.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,r,,,658.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,r,,,689.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,r,,,662.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,r,,,676.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,|,r,,689.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,r,,,671.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,r,,,744.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Female,,,,747.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,71.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,95.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,78.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,64.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,78.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,97.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,78.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,r,,,92.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,r,,,120.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,r,,,76.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,r,,,121.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,|,r,,101.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,r,,,115.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,r,,,165.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",21 to under 60 years,Male,,,,170.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,35.3
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,32.9
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,32.2
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,31.7
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,28.9
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,25.9
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,24.3
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,23.9
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,24.5
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,24.3
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,25.2
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,26.6
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,27.7
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,,,,29.8
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,,|,,,32.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,54.9
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,51.4
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,51.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,49.7
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,45.3
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,41.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,38.7
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,38.3
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,39.2
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,39.1
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,40.3
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,42.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,44.2
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,,,,46.9
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Female,|,,,50.6
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,14.9
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,13.6
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,12.8
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,12.9
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,11.7
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,10.4
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,9.5
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,9.2
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,9.4
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,9.2
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,9.8
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,10.7
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,10.8
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,,,,12.1
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",60 years and older,Male,|,,,12.9
