Year,timeseries,age group,sex,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) reporting rate for physical violence,,,,,.,,,
2011,a) reporting rate for physical violence,,,,,.,,,
2012,a) reporting rate for physical violence,,,,,.,,,
2013,a) reporting rate for physical violence,,,,,.,,,
2014,a) reporting rate for physical violence,,,,,.,,,
2015,a) reporting rate for physical violence,,,,,.,,,
2016,a) reporting rate for physical violence,,,,,.,,,
2017,a) reporting rate for physical violence,,,,,.,,,
2018,a) reporting rate for physical violence,,,,,.,,,
2019,a) reporting rate for physical violence,,,,,.,,,
2020,a) reporting rate for physical violence,,,,,,,,1.5
2021,a) reporting rate for physical violence,,,,,…,,,
2022,a) reporting rate for physical violence,,,,,…,,,
2023,a) reporting rate for physical violence,,,,,…,,,
2010,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2011,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2012,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2013,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2014,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2015,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2016,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2017,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2018,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2019,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2020,a) reporting rate for physical violence,16 to under 25 years,,,,,,,0.2
2021,a) reporting rate for physical violence,16 to under 25 years,,,,…,,,
2022,a) reporting rate for physical violence,16 to under 25 years,,,,…,,,
2023,a) reporting rate for physical violence,16 to under 25 years,,,,…,,,
2010,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2011,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2012,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2013,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2014,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2015,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2016,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2017,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2018,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2019,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2020,a) reporting rate for physical violence,25 to under 35 years,,,,,,,44.6
2021,a) reporting rate for physical violence,25 to under 35 years,,,,…,,,
2022,a) reporting rate for physical violence,25 to under 35 years,,,,…,,,
2023,a) reporting rate for physical violence,25 to under 35 years,,,,…,,,
2010,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2011,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2012,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2013,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2014,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2015,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2016,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2017,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2018,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2019,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2020,a) reporting rate for physical violence,35 to under 45 years,,,,,,,51.5
2021,a) reporting rate for physical violence,35 to under 45 years,,,,…,,,
2022,a) reporting rate for physical violence,35 to under 45 years,,,,…,,,
2023,a) reporting rate for physical violence,35 to under 45 years,,,,…,,,
2010,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2011,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2012,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2013,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2014,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2015,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2016,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2017,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2018,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2019,a) reporting rate for physical violence,45 to under 55 years,,,,.,,,
2020,a) reporting rate for physical violence,45 to under 55 years,,,,,,,3.6
2021,a) reporting rate for physical violence,45 to under 55 years,,,,…,,,
2022,a) reporting rate for physical violence,45 to under 55 years,,,,…,,,
2023,a) reporting rate for physical violence,45 to under 55 years,,,,…,,,
2010,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2011,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2012,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2013,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2014,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2015,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2016,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2017,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2018,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2019,a) reporting rate for physical violence,55 to under 65 years,,,,.,,,
2020,a) reporting rate for physical violence,55 to under 65 years,,,,,,,0.3
2021,a) reporting rate for physical violence,55 to under 65 years,,,,…,,,
2022,a) reporting rate for physical violence,55 to under 65 years,,,,…,,,
2023,a) reporting rate for physical violence,55 to under 65 years,,,,…,,,
2010,a) reporting rate for physical violence,65 to under 75 years,,,,,,,88.0
2011,a) reporting rate for physical violence,65 to under 75 years,,,,,,,87.1
2012,a) reporting rate for physical violence,65 to under 75 years,,,,,,,87.5
2013,a) reporting rate for physical violence,65 to under 75 years,,,,,,,86.5
2014,a) reporting rate for physical violence,65 to under 75 years,,,,,,,86.9
2015,a) reporting rate for physical violence,65 to under 75 years,,,,,,,86.2
2016,a) reporting rate for physical violence,65 to under 75 years,,,,,,,85.9
2017,a) reporting rate for physical violence,65 to under 75 years,,,,,,,85.8
2018,a) reporting rate for physical violence,65 to under 75 years,,,,,,,86.7
2019,a) reporting rate for physical violence,65 to under 75 years,,,,,,,86.9
2020,a) reporting rate for physical violence,65 to under 75 years,,,,|,,,91.8
2021,a) reporting rate for physical violence,65 to under 75 years,,,,.,,,
2022,a) reporting rate for physical violence,65 to under 75 years,,,,.,,,
2023,a) reporting rate for physical violence,65 to under 75 years,,,,,,,89.3
2010,a) reporting rate for physical violence,75 years and older,,,,.,,,
2011,a) reporting rate for physical violence,75 years and older,,,,.,,,
2012,a) reporting rate for physical violence,75 years and older,,,,,,,0.08
2013,a) reporting rate for physical violence,75 years and older,,,,,,,0.08
2014,a) reporting rate for physical violence,75 years and older,,,,,,,0.08
2015,a) reporting rate for physical violence,75 years and older,,,,,,,0.09
2016,a) reporting rate for physical violence,75 years and older,,,,,,,0.1
2017,a) reporting rate for physical violence,75 years and older,,,,,,,0.1
2018,a) reporting rate for physical violence,75 years and older,,,,,,,0.12
2019,a) reporting rate for physical violence,75 years and older,,,,,,,0.14
2020,a) reporting rate for physical violence,75 years and older,,,,,,,0.15
2021,a) reporting rate for physical violence,75 years and older,,,,,,,0.16
2022,a) reporting rate for physical violence,75 years and older,,,,,,,0.17
2023,a) reporting rate for physical violence,75 years and older,,,,,,,0.17
2010,a) reporting rate for physical violence,,female,,,.,,,
2011,a) reporting rate for physical violence,,female,,,.,,,
2012,a) reporting rate for physical violence,,female,,,,,,0.07
2013,a) reporting rate for physical violence,,female,,,,,,0.07
2014,a) reporting rate for physical violence,,female,,,,,,0.07
2015,a) reporting rate for physical violence,,female,,,,,,0.08
2016,a) reporting rate for physical violence,,female,,,,,,0.09
2017,a) reporting rate for physical violence,,female,,,,,,0.09
2018,a) reporting rate for physical violence,,female,,,,,,0.11
2019,a) reporting rate for physical violence,,female,,,,,,0.13
2020,a) reporting rate for physical violence,,female,,,,,,0.13
2021,a) reporting rate for physical violence,,female,,,,,,0.13
2022,a) reporting rate for physical violence,,female,,,,,,0.15
2023,a) reporting rate for physical violence,,female,,,,,,0.16
2010,a) reporting rate for physical violence,,male,,,.,,,
2011,a) reporting rate for physical violence,,male,,,.,,,
2012,a) reporting rate for physical violence,,male,,,,,,0.04
2013,a) reporting rate for physical violence,,male,,,,,,0.04
2014,a) reporting rate for physical violence,,male,,,,,,0.04
2015,a) reporting rate for physical violence,,male,,,,,,0.04
2016,a) reporting rate for physical violence,,male,,,,,,0.05
2017,a) reporting rate for physical violence,,male,,,,,,0.05
2018,a) reporting rate for physical violence,,male,,,,,,0.06
2019,a) reporting rate for physical violence,,male,,,,,,0.07
2020,a) reporting rate for physical violence,,male,,,,,,0.07
2021,a) reporting rate for physical violence,,male,,,,,,0.07
2022,a) reporting rate for physical violence,,male,,,,,,0.08
2023,a) reporting rate for physical violence,,male,,,,,,0.08
2010,a) reporting rate for physical violence,,,physical assault,,.,,,
2011,a) reporting rate for physical violence,,,physical assault,,.,,,
2012,a) reporting rate for physical violence,,,physical assault,,,,,0.04
2013,a) reporting rate for physical violence,,,physical assault,,,,,0.04
2014,a) reporting rate for physical violence,,,physical assault,,,,,0.04
2015,a) reporting rate for physical violence,,,physical assault,,,,,0.04
2016,a) reporting rate for physical violence,,,physical assault,,,,,0.05
2017,a) reporting rate for physical violence,,,physical assault,,,,,0.05
2018,a) reporting rate for physical violence,,,physical assault,,,,,0.06
2019,a) reporting rate for physical violence,,,physical assault,,,,,0.07
2020,a) reporting rate for physical violence,,,physical assault,,,,,0.07
2021,a) reporting rate for physical violence,,,physical assault,,,,,0.07
2022,a) reporting rate for physical violence,,,physical assault,,,,,0.08
2023,a) reporting rate for physical violence,,,physical assault,,,,,0.08
2010,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,.,,,
2011,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,.,,,
2012,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.03
2013,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.03
2014,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.04
2015,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.04
2016,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.04
2017,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.05
2018,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.05
2019,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.06
2020,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.06
2021,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.06
2022,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.07
2023,a) reporting rate for physical violence,16 to under 25 years,,physical assault,,,,,0.07
2010,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,.,,,
2011,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,.,,,
2012,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.03
2013,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.03
2014,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.04
2015,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.04
2016,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.05
2017,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.05
2018,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.06
2019,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.07
2020,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.07
2021,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.08
2022,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.09
2023,a) reporting rate for physical violence,25 to under 35 years,,physical assault,,,,,0.09
2010,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,.,,,
2011,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,.,,,
2012,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.04
2013,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.04
2014,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.04
2015,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.05
2016,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.05
2017,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.05
2018,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.06
2019,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.07
2020,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.08
2021,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.09
2022,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.09
2023,a) reporting rate for physical violence,35 to under 45 years,,physical assault,,,,,0.09
2010,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,.,,,
2011,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,.,,,
2012,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.03
2013,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.03
2014,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.04
2015,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.04
2016,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.04
2017,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.05
2018,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.06
2019,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.06
2020,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.07
2021,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.07
2022,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.08
2023,a) reporting rate for physical violence,45 to under 55 years,,physical assault,,,,,0.09
2010,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.81
2011,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.84
2012,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.78
2013,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.75
2014,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.72
2015,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.58
2016,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.65
2017,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.81
2018,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.59
2019,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.57
2020,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.58
2021,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.68
2022,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,1.78
2023,a) reporting rate for physical violence,55 to under 65 years,,physical assault,,,,,0.7
2010,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.05
2011,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.04
2012,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.02
2013,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.08
2014,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.03
2015,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.07
2016,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.06
2017,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.22
2018,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.08
2019,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.05
2020,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.09
2021,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.18
2022,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,1.22
2023,a) reporting rate for physical violence,65 to under 75 years,,physical assault,,,,,0.22
2010,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.76
2011,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.8
2012,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.76
2013,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.67
2014,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.69
2015,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.51
2016,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.59
2017,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.59
2018,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.52
2019,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.51
2020,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.49
2021,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.5
2022,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.57
2023,a) reporting rate for physical violence,75 years and older,,physical assault,,,,,0.48
2010,a) reporting rate for physical violence,,female,physical assault,,,,,651.0
2011,a) reporting rate for physical violence,,female,physical assault,,,,,671.0
2012,a) reporting rate for physical violence,,female,physical assault,,,,,626.0
2013,a) reporting rate for physical violence,,female,physical assault,,,,,603.0
2014,a) reporting rate for physical violence,,female,physical assault,,,,,583.0
2015,a) reporting rate for physical violence,,female,physical assault,,,,,470.0
2016,a) reporting rate for physical violence,,female,physical assault,,,,,536.0
2017,a) reporting rate for physical violence,,female,physical assault,,,,,669.0
2018,a) reporting rate for physical violence,,female,physical assault,,,,,493.0
2019,a) reporting rate for physical violence,,female,physical assault,,,,,470.0
2020,a) reporting rate for physical violence,,female,physical assault,,,,,479.0
2021,a) reporting rate for physical violence,,female,physical assault,,,,,564.0
