Year,Units,Messgröße,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1642.0
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1918.4
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2324.6
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2668.6
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,3391.2
2010,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,48.6
2011,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,46.0
2012,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,77.0
2013,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,71.9
2014,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,61.3
2015,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,62.5
2016,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,60.1
2017,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,69.0
2018,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,104.9
2019,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,107.7
2020,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,195.4
2021,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,241.3
2022,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,238.6
2023,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,251.1
2024,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,210.5
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,74.5
