Year,Time series,Legislation,Value
2011,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2012,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2013,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2014,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2015,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2016,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2017,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2018,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2019,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2020,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2021,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2022,(1) (b) National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,,1.0
2010,(2) national allocation of resources towards the prevention or control of ias.,,
2011,(2) national allocation of resources towards the prevention or control of ias.,,
2012,(2) national allocation of resources towards the prevention or control of ias.,,
2013,(2) national allocation of resources towards the prevention or control of ias.,,
2014,(2) national allocation of resources towards the prevention or control of ias.,,
2015,(2) national allocation of resources towards the prevention or control of ias.,,
2016,(2) national allocation of resources towards the prevention or control of ias.,,
2017,(2) national allocation of resources towards the prevention or control of ias.,,
2018,(2) national allocation of resources towards the prevention or control of ias.,,
2019,(2) national allocation of resources towards the prevention or control of ias.,,
2020,(2) national allocation of resources towards the prevention or control of ias.,,
2021,(2) national allocation of resources towards the prevention or control of ias.,,
2022,(2) national allocation of resources towards the prevention or control of ias.,,1.0
