Year,Art des Verfahrens,Bundesland,GeoCode,Branche,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Strafverfahren,Niedersachsen,code03,"Speditions-, Transport- und Logistikgewerbe",,,,323
2025,Strafverfahren,Niedersachsen,code03,"Speditions-, Transport- und Logistikgewerbe",,,,353
2024,Strafverfahren,Nordrhein-Westfalen,code05,,,,,21974
2025,Strafverfahren,Nordrhein-Westfalen,code05,,,,,24301
2024,Strafverfahren,Nordrhein-Westfalen,code05,Baugewerbe,,,,2109
2025,Strafverfahren,Nordrhein-Westfalen,code05,Baugewerbe,,,,2121
2024,Strafverfahren,Nordrhein-Westfalen,code05,Gaststätten- und Beherbergungsgewerbe,,,,1887
2025,Strafverfahren,Nordrhein-Westfalen,code05,Gaststätten- und Beherbergungsgewerbe,,,,1962
2024,Strafverfahren,Nordrhein-Westfalen,code05,Frisör- und Kosmetikgewerbe,,,,382
2025,Strafverfahren,Nordrhein-Westfalen,code05,Frisör- und Kosmetikgewerbe,,,,456
2024,Strafverfahren,Nordrhein-Westfalen,code05,"Speditions-, Transport- und Logistikgewerbe",,,,1391
2025,Strafverfahren,Nordrhein-Westfalen,code05,"Speditions-, Transport- und Logistikgewerbe",,,,1847
2024,Strafverfahren,Rheinland-Pfalz,code07,,,,,3690
2025,Strafverfahren,Rheinland-Pfalz,code07,,,,,3529
2024,Strafverfahren,Rheinland-Pfalz,code07,Baugewerbe,,,,703
2025,Strafverfahren,Rheinland-Pfalz,code07,Baugewerbe,,,,588
2024,Strafverfahren,Rheinland-Pfalz,code07,Gaststätten- und Beherbergungsgewerbe,,,,339
2025,Strafverfahren,Rheinland-Pfalz,code07,Gaststätten- und Beherbergungsgewerbe,,,,347
2024,Strafverfahren,Rheinland-Pfalz,code07,Frisör- und Kosmetikgewerbe,,,,65
2025,Strafverfahren,Rheinland-Pfalz,code07,Frisör- und Kosmetikgewerbe,,,,82
2024,Strafverfahren,Rheinland-Pfalz,code07,"Speditions-, Transport- und Logistikgewerbe",,,,121
2025,Strafverfahren,Rheinland-Pfalz,code07,"Speditions-, Transport- und Logistikgewerbe",,,,125
2024,Strafverfahren,Saarland,code10,,,,,2257
2025,Strafverfahren,Saarland,code10,,,,,2032
2024,Strafverfahren,Saarland,code10,Baugewerbe,,,,147
2025,Strafverfahren,Saarland,code10,Baugewerbe,,,,166
2024,Strafverfahren,Saarland,code10,Gaststätten- und Beherbergungsgewerbe,,,,317
2025,Strafverfahren,Saarland,code10,Gaststätten- und Beherbergungsgewerbe,,,,249
2024,Strafverfahren,Saarland,code10,Frisör- und Kosmetikgewerbe,,,,14
2025,Strafverfahren,Saarland,code10,Frisör- und Kosmetikgewerbe,,,,27
2024,Strafverfahren,Saarland,code10,"Speditions-, Transport- und Logistikgewerbe",,,,124
2025,Strafverfahren,Saarland,code10,"Speditions-, Transport- und Logistikgewerbe",,,,132
2024,Strafverfahren,Sachsen,code14,,,,,4108
2025,Strafverfahren,Sachsen,code14,,,,,3795
2024,Strafverfahren,Sachsen,code14,Baugewerbe,,,,499
2025,Strafverfahren,Sachsen,code14,Baugewerbe,,,,409
2024,Strafverfahren,Sachsen,code14,Gaststätten- und Beherbergungsgewerbe,,,,480
2025,Strafverfahren,Sachsen,code14,Gaststätten- und Beherbergungsgewerbe,,,,434
2024,Strafverfahren,Sachsen,code14,Frisör- und Kosmetikgewerbe,,,,34
2025,Strafverfahren,Sachsen,code14,Frisör- und Kosmetikgewerbe,,,,57
2024,Strafverfahren,Sachsen,code14,"Speditions-, Transport- und Logistikgewerbe",,,,109
2025,Strafverfahren,Sachsen,code14,"Speditions-, Transport- und Logistikgewerbe",,,,96
2024,Strafverfahren,Sachsen-Anhalt,code15,,,,,2092
2025,Strafverfahren,Sachsen-Anhalt,code15,,,,,2343
2024,Strafverfahren,Sachsen-Anhalt,code15,Baugewerbe,,,,157
