Year,Units,Messgröße,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,661.7
2024,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,567.1
2010,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,44.5
2019,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,1.4
2020,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,61.3
2021,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,4.3
2022,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,7.2
2023,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,44.5
2019,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,1.4
2020,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,61.3
2021,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,4.3
2022,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,7.2
2023,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,442.0
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,391.4
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,320.4
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,500.4
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,939.5
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,896.5
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,850.9
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,853.0
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,738.5
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1189.0
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1255.6
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1468.6
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1197.3
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,612.6
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,523.7
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,310.9
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,375.5
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,325.9
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,457.2
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,385.9
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,685.3
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,723.8
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,783.3
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,651.2
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,709.9
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1038.2
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,908.9
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1528.5
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,738.0
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,613.3
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,60.1
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,1.9
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,79.7
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,5.5
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,8.6
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,60.1
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,1.9
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,79.7
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,5.5
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,8.6
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
