Year,Units,Sektor,Art der öffentlichen Entwicklungsleistung,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,325.772
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,178.763
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,142.07
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,134.11
2010,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2019,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,45.262
2020,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,103.785
2021,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2022,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,54.668
2023,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,97.639
2019,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,68.919
2020,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,24.535
2021,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,49.928
2022,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,46.996
2023,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,10.798
2024,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,26.521
2019,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,37.054
2020,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,28.915
2021,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,26.363
2022,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,60.407
2023,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,208.3
2019,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,193.815
2020,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,122.965
2021,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,113.356
2022,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,210.515
2023,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,223.032
2024,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2019,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2020,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,11.363
2016,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,8.005
2017,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2019,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,45.262
2020,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,103.785
2021,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2022,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,54.668
2023,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,201.883
2011,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,118.668
2013,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,72.711
2014,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,13.777
2015,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,97.639
2019,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,68.919
2020,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,24.535
2021,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,49.928
2022,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,46.996
2023,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,4.953
2024,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,26.521
2019,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,37.054
2020,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,28.915
2021,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,26.363
2022,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,60.407
2023,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,208.3
2019,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,193.815
2020,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,122.965
2021,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,113.356
2022,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,210.515
2023,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,32.606
2024,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,152.536
2010,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2019,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2020,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
