Year,Units,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,"million usd, constant prices (2023)",energy,,,,2484976.865
2023,"million usd, constant prices (2023)",energy,,,,2452407.901
2024,"million usd, constant prices (2023)",energy,,,,2935893.862
2010,"million usd, constant prices (2023)",urban development and management,,,,93832.102
2011,"million usd, constant prices (2023)",urban development and management,,,,128674.245
2012,"million usd, constant prices (2023)",urban development and management,,,,105854.251
2013,"million usd, constant prices (2023)",urban development and management,,,,68467.441
2014,"million usd, constant prices (2023)",urban development and management,,,,7186.098
2015,"million usd, constant prices (2023)",urban development and management,,,,8851.969
2016,"million usd, constant prices (2023)",urban development and management,,,,176762.699
2017,"million usd, constant prices (2023)",urban development and management,,,,202450.255
2018,"million usd, constant prices (2023)",urban development and management,,,,299021.431
2019,"million usd, constant prices (2023)",urban development and management,,,,276588.497
2020,"million usd, constant prices (2023)",urban development and management,,,,402810.607
2021,"million usd, constant prices (2023)",urban development and management,,,,313298.409
2022,"million usd, constant prices (2023)",urban development and management,,,,172439.338
2023,"million usd, constant prices (2023)",urban development and management,,,,137758.045
2024,"million usd, constant prices (2023)",urban development and management,,,,129810.459
2010,million eur,,,,,1843746.11618612
2011,million eur,,,,,1674672.26011850
2012,million eur,,,,,1386991.21362400
2013,million eur,,,,,1811872.08972479
2014,million eur,,,,,1458813.71419287
2015,million eur,,,,,2833761.59004032
2016,million eur,,,,,2966757.53643049
2017,million eur,,,,,2713248.52950291
2018,million eur,,,,,3167488.61022332
2019,million eur,,,,,3314917.17814391
2020,million eur,,,,,3238016.99825095
2021,million eur,,,,,2744003.27899115
2022,million eur,,,,,3552677.72316878
2023,million eur,,,,,3697409.98763840
2024,million eur,,,,,4729369.58626046
2010,million eur,water supply & sanitation,,,,449387.3172110580
2011,million eur,water supply & sanitation,,,,495117.3444742150
2012,million eur,water supply & sanitation,,,,450456.3221234390
2013,million eur,water supply & sanitation,,,,490457.6717258180
2014,million eur,water supply & sanitation,,,,68694.3539581158
2015,million eur,water supply & sanitation,,,,747515.8168286490
2016,million eur,water supply & sanitation,,,,744111.9134404060
2017,million eur,water supply & sanitation,,,,797764.9426954450
2018,million eur,water supply & sanitation,,,,837609.8060048880
2019,million eur,water supply & sanitation,,,,797210.1294416370
2020,million eur,water supply & sanitation,,,,904723.1876991780
2021,million eur,water supply & sanitation,,,,728217.6820368020
2022,million eur,water supply & sanitation,,,,817164.4019622960
2023,million eur,water supply & sanitation,,,,886445.2258176000
2024,million eur,water supply & sanitation,,,,1299146.6246637700
2010,million eur,transport and storage,,,,265891.426609876
2011,million eur,transport and storage,,,,187661.630837989
2012,million eur,transport and storage,,,,243053.886700905
2013,million eur,transport and storage,,,,325763.185872510
2014,million eur,transport and storage,,,,105961.622254259
2015,million eur,transport and storage,,,,432618.543266667
2016,million eur,transport and storage,,,,378383.190821620
2017,million eur,transport and storage,,,,242894.182335639
2018,million eur,transport and storage,,,,346274.340055120
2019,million eur,transport and storage,,,,496718.763049237
2020,million eur,transport and storage,,,,365644.490542553
2021,million eur,transport and storage,,,,204861.760828968
2022,million eur,transport and storage,,,,287145.621158157
2023,million eur,transport and storage,,,,360184.664617600
2024,million eur,transport and storage,,,,451446.600865718
2010,million eur,communications,,,,20554.71987607310
2011,million eur,communications,,,,7778.20915551220
2012,million eur,communications,,,,5479.06518777388
2013,million eur,communications,,,,22853.76959643840
2014,million eur,communications,,,,57058.29557251580
2015,million eur,communications,,,,25186.89555763310
2016,million eur,communications,,,,13898.31480181850
2017,million eur,communications,,,,26970.01347707480
2018,million eur,communications,,,,28590.04105569830
2019,million eur,communications,,,,56881.04666732190
2020,million eur,communications,,,,58748.77182989740
2021,million eur,communications,,,,88972.52846458210
2022,million eur,communications,,,,133009.17806896300
2023,million eur,communications,,,,55394.63034240000
2024,million eur,communications,,,,50402.53341136540
2010,million eur,energy,,,,1044339.060837540
2011,million eur,energy,,,,895864.209544016
2012,million eur,energy,,,,614357.559137182
2013,million eur,energy,,,,924214.133337415
2014,million eur,energy,,,,1221903.554789880
2015,million eur,energy,,,,1621932.312057520
2016,million eur,energy,,,,1698765.387963380
2017,million eur,energy,,,,1492676.265282440
2018,million eur,energy,,,,1724905.129073960
2019,million eur,energy,,,,1746982.119354050
2020,million eur,energy,,,,1587124.584002850
2021,million eur,energy,,,,1464673.896685670
2022,million eur,energy,,,,2165115.255489130
2023,million eur,energy,,,,2267986.826844800
2024,million eur,energy,,,,2804378.323890250
2010,million eur,urban development and management,,,,63573.59165157610
2011,million eur,urban development and management,,,,88250.86610676600
2012,million eur,urban development and management,,,,73644.38047470310
2013,million eur,urban development and management,,,,48583.32919261100
2014,million eur,urban development and management,,,,5195.88761809999
2015,million eur,urban development and management,,,,6508.02232985770
2016,million eur,urban development and management,,,,131598.72940327000
2017,million eur,urban development and management,,,,152943.12571231500
2018,million eur,urban development and management,,,,230109.29403364900
2019,million eur,urban development and management,,,,217125.11963166300
2020,million eur,urban development and management,,,,321775.96417647200
2021,million eur,urban development and management,,,,257277.41097513100
2022,million eur,urban development and management,,,,150243.26649022800
2023,million eur,urban development and management,,,,127398.64001600000
2024,million eur,urban development and management,,,,123995.50342935500
