Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,employed persons,food and beverage serving activities,…,,,
2018,employed persons,food and beverage serving activities,…,,,
2019,employed persons,food and beverage serving activities,…,,,
2020,employed persons,food and beverage serving activities,,,,1336699
2021,employed persons,food and beverage serving activities,,,,1457238
2022,employed persons,food and beverage serving activities,,,,1514878
2023,employed persons,food and beverage serving activities,,,,1541245
2010,employed persons,railway passenger transport,…,,,
2011,employed persons,railway passenger transport,…,,,
2012,employed persons,railway passenger transport,…,,,
2013,employed persons,railway passenger transport,…,,,
2014,employed persons,railway passenger transport,…,,,
2015,employed persons,railway passenger transport,…,,,
2016,employed persons,railway passenger transport,…,,,
2017,employed persons,railway passenger transport,…,,,
2018,employed persons,railway passenger transport,…,,,
2019,employed persons,railway passenger transport,…,,,
2020,employed persons,railway passenger transport,…,,,
2021,employed persons,railway passenger transport,…,,,
2022,employed persons,railway passenger transport,,,,25222
2023,employed persons,railway passenger transport,,,,25745
2010,employed persons,road passenger transport,…,,,
2011,employed persons,road passenger transport,…,,,
2012,employed persons,road passenger transport,…,,,
2013,employed persons,road passenger transport,…,,,
2014,employed persons,road passenger transport,…,,,
2015,employed persons,road passenger transport,…,,,
2016,employed persons,road passenger transport,…,,,
2017,employed persons,road passenger transport,…,,,
2018,employed persons,road passenger transport,…,,,
2019,employed persons,road passenger transport,…,,,
2020,employed persons,road passenger transport,…,,,
2021,employed persons,road passenger transport,…,,,
2022,employed persons,road passenger transport,,,,194485
2023,employed persons,road passenger transport,,,,205032
2010,employed persons,water passenger transport,…,,,
2011,employed persons,water passenger transport,…,,,
2012,employed persons,water passenger transport,…,,,
2013,employed persons,water passenger transport,…,,,
2014,employed persons,water passenger transport,…,,,
2015,employed persons,water passenger transport,…,,,
2016,employed persons,water passenger transport,…,,,
2017,employed persons,water passenger transport,…,,,
2018,employed persons,water passenger transport,…,,,
2019,employed persons,water passenger transport,…,,,
2020,employed persons,water passenger transport,,,,8614
2021,employed persons,water passenger transport,,,,8756
2022,employed persons,water passenger transport,,,,9206
2023,employed persons,water passenger transport,,,,8967
2010,employed persons,air passenger transport,…,,,
2011,employed persons,air passenger transport,…,,,
2012,employed persons,air passenger transport,…,,,
2013,employed persons,air passenger transport,…,,,
2014,employed persons,air passenger transport,…,,,
2015,employed persons,air passenger transport,…,,,
2016,employed persons,air passenger transport,…,,,
2017,employed persons,air passenger transport,…,,,
2018,employed persons,air passenger transport,…,,,
2019,employed persons,air passenger transport,…,,,
2020,employed persons,air passenger transport,,,,58297
2021,employed persons,air passenger transport,,,,54734
2022,employed persons,air passenger transport,,,,52686
2023,employed persons,air passenger transport,,,,57060
2010,employed persons,transport equipment rental,…,,,
2011,employed persons,transport equipment rental,…,,,
2012,employed persons,transport equipment rental,…,,,
2013,employed persons,transport equipment rental,…,,,
2014,employed persons,transport equipment rental,…,,,
2015,employed persons,transport equipment rental,…,,,
2016,employed persons,transport equipment rental,…,,,
2017,employed persons,transport equipment rental,…,,,
2018,employed persons,transport equipment rental,…,,,
2019,employed persons,transport equipment rental,…,,,
2020,employed persons,transport equipment rental,,,,34896
2021,employed persons,transport equipment rental,,,,41038
2022,employed persons,transport equipment rental,,,,45861
2023,employed persons,transport equipment rental,,,,43418
