Year,Units,type of financial flow,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,4986.407
2019,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,5329.253
2020,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,5089.921
2021,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,4965.618
2022,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,6079.011
2023,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,5871.279
2024,"million usd, constant prices (2024)",official development assistance,gross disbursements,,,,6125.980
2010,"million usd, constant prices (2024)",other official flows,commitments,,,,48.328
2011,"million usd, constant prices (2024)",other official flows,commitments,,,,264.907
2012,"million usd, constant prices (2024)",other official flows,commitments,,,,26.829
2013,"million usd, constant prices (2024)",other official flows,commitments,,,,0.000
2014,"million usd, constant prices (2024)",other official flows,commitments,,,,97.798
2015,"million usd, constant prices (2024)",other official flows,commitments,,,,171.186
2016,"million usd, constant prices (2024)",other official flows,commitments,,,,345.652
2017,"million usd, constant prices (2024)",other official flows,commitments,,,,383.678
2018,"million usd, constant prices (2024)",other official flows,commitments,,,,1766.679
2019,"million usd, constant prices (2024)",other official flows,commitments,,,,970.999
2020,"million usd, constant prices (2024)",other official flows,commitments,,,,1283.460
2021,"million usd, constant prices (2024)",other official flows,commitments,,,,1754.548
2022,"million usd, constant prices (2024)",other official flows,commitments,,,,814.424
2023,"million usd, constant prices (2024)",other official flows,commitments,,,,18.544
2024,"million usd, constant prices (2024)",other official flows,commitments,,,,48.711
2010,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,3.877
2011,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,36.794
2012,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,2.042
2013,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,7.521
2014,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,80.660
2015,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,235.243
2016,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,427.445
2017,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,502.297
2018,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,1239.469
2019,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,1449.036
2020,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,1251.384
2021,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,1477.098
2022,"million usd, constant prices (2024)",other official flows,gross disbursements,,,,1493.748
