Year,type of proceeding,länder,GeoCode,industry,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,criminal proceedings,brandenburg,code12,hairdressing and beauty industry,,,,37
2025,criminal proceedings,brandenburg,code12,hairdressing and beauty industry,,,,55
2024,criminal proceedings,brandenburg,code12,"freight forwarding, transportation, and logistics industry",,,,66
2025,criminal proceedings,brandenburg,code12,"freight forwarding, transportation, and logistics industry",,,,117
2024,criminal proceedings,bremen,code04,,,,,3108
2025,criminal proceedings,bremen,code04,,,,,3493
2024,criminal proceedings,bremen,code04,construction industry,,,,178
2025,criminal proceedings,bremen,code04,construction industry,,,,192
2024,criminal proceedings,bremen,code04,restaurant and lodging industry,,,,268
2025,criminal proceedings,bremen,code04,restaurant and lodging industry,,,,299
2024,criminal proceedings,bremen,code04,hairdressing and beauty industry,,,,47
2025,criminal proceedings,bremen,code04,hairdressing and beauty industry,,,,62
2024,criminal proceedings,bremen,code04,"freight forwarding, transportation, and logistics industry",,,,131
2025,criminal proceedings,bremen,code04,"freight forwarding, transportation, and logistics industry",,,,109
2024,criminal proceedings,hamburg,code02,,,,,3817
2025,criminal proceedings,hamburg,code02,,,,,2896
2024,criminal proceedings,hamburg,code02,construction industry,,,,348
2025,criminal proceedings,hamburg,code02,construction industry,,,,285
2024,criminal proceedings,hamburg,code02,restaurant and lodging industry,,,,549
2025,criminal proceedings,hamburg,code02,restaurant and lodging industry,,,,404
2024,criminal proceedings,hamburg,code02,hairdressing and beauty industry,,,,104
2025,criminal proceedings,hamburg,code02,hairdressing and beauty industry,,,,104
2024,criminal proceedings,hamburg,code02,"freight forwarding, transportation, and logistics industry",,,,292
2025,criminal proceedings,hamburg,code02,"freight forwarding, transportation, and logistics industry",,,,212
2024,criminal proceedings,hesse,code06,,,,,7411
2025,criminal proceedings,hesse,code06,,,,,7984
2024,criminal proceedings,hesse,code06,construction industry,,,,1209
2025,criminal proceedings,hesse,code06,construction industry,,,,1028
2024,criminal proceedings,hesse,code06,restaurant and lodging industry,,,,556
2025,criminal proceedings,hesse,code06,restaurant and lodging industry,,,,590
2024,criminal proceedings,hesse,code06,hairdressing and beauty industry,,,,80
2025,criminal proceedings,hesse,code06,hairdressing and beauty industry,,,,154
2024,criminal proceedings,hesse,code06,"freight forwarding, transportation, and logistics industry",,,,225
2025,criminal proceedings,hesse,code06,"freight forwarding, transportation, and logistics industry",,,,266
2024,criminal proceedings,mecklenburg western pomerania,code13,,,,,2375
2025,criminal proceedings,mecklenburg western pomerania,code13,,,,,2287
2024,criminal proceedings,mecklenburg western pomerania,code13,construction industry,,,,111
2025,criminal proceedings,mecklenburg western pomerania,code13,construction industry,,,,86
2024,criminal proceedings,mecklenburg western pomerania,code13,restaurant and lodging industry,,,,127
2025,criminal proceedings,mecklenburg western pomerania,code13,restaurant and lodging industry,,,,117
2024,criminal proceedings,mecklenburg western pomerania,code13,hairdressing and beauty industry,,,,20
2025,criminal proceedings,mecklenburg western pomerania,code13,hairdressing and beauty industry,,,,19
2024,criminal proceedings,mecklenburg western pomerania,code13,"freight forwarding, transportation, and logistics industry",,,,12
2025,criminal proceedings,mecklenburg western pomerania,code13,"freight forwarding, transportation, and logistics industry",,,,16
2024,criminal proceedings,lower saxony,code03,,,,,9076
2025,criminal proceedings,lower saxony,code03,,,,,8306
2024,criminal proceedings,lower saxony,code03,construction industry,,,,851
2025,criminal proceedings,lower saxony,code03,construction industry,,,,618
