Year,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2020,Travel agencies and other reservation service activities,,,,additional time series: employees,71757.0
2021,Travel agencies and other reservation service activities,,,,additional time series: employees,69620.0
2022,Travel agencies and other reservation service activities,,,,additional time series: employees,78682.0
2023,Travel agencies and other reservation service activities,,,,additional time series: employees,74969.0
2021,Cultural activities,,,,additional time series: employees,48031.0
2022,Cultural activities,,,,additional time series: employees,53906.0
2023,Cultural activities,,,,additional time series: employees,56266.0
2021,Sports and Recreational activities,,,,additional time series: employees,275068.0
2022,Sports and Recreational activities,,,,additional time series: employees,286360.0
2023,Sports and Recreational activities,,,,additional time series: employees,276102.0
2010,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees jobs (in full-time equivalent),289724.0
2021,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees jobs (in full-time equivalent),345255.0
2022,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees jobs (in full-time equivalent),353567.0
2023,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees jobs (in full-time equivalent),353567.0
2010,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Accommodation for visitors: other,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Accommodation for visitors: other,,,,additional time series: employees jobs (in full-time equivalent),270579.0
2021,Accommodation for visitors: other,,,,additional time series: employees jobs (in full-time equivalent),406427.0
2022,Accommodation for visitors: other,,,,additional time series: employees jobs (in full-time equivalent),377342.0
2023,Accommodation for visitors: other,,,,additional time series: employees jobs (in full-time equivalent),374218.0
2010,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Food and beverage serving activities,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Food and beverage serving activities,,,,additional time series: employees jobs (in full-time equivalent),743998.0
2021,Food and beverage serving activities,,,,additional time series: employees jobs (in full-time equivalent),1072961.0
2022,Food and beverage serving activities,,,,additional time series: employees jobs (in full-time equivalent),925027.0
2023,Food and beverage serving activities,,,,additional time series: employees jobs (in full-time equivalent),932114.0
2022,Railway passenger transport,,,,additional time series: employees jobs (in full-time equivalent),23151.0
2023,Railway passenger transport,,,,additional time series: employees jobs (in full-time equivalent),23326.0
2010,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Road passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Road passenger transport,,,,additional time series: employees jobs (in full-time equivalent),96528.0
2021,Road passenger transport,,,,additional time series: employees jobs (in full-time equivalent),129574.0
2022,Road passenger transport,,,,additional time series: employees jobs (in full-time equivalent),126403.0
2023,Road passenger transport,,,,additional time series: employees jobs (in full-time equivalent),128524.0
2010,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Water passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Water passenger transport,,,,additional time series: employees jobs (in full-time equivalent),6722.0
2021,Water passenger transport,,,,additional time series: employees jobs (in full-time equivalent),7346.0
2022,Water passenger transport,,,,additional time series: employees jobs (in full-time equivalent),7746.0
2023,Water passenger transport,,,,additional time series: employees jobs (in full-time equivalent),7414.0
2010,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Air passenger transport,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Air passenger transport,,,,additional time series: employees jobs (in full-time equivalent),45264.0
2021,Air passenger transport,,,,additional time series: employees jobs (in full-time equivalent),45513.0
2022,Air passenger transport,,,,additional time series: employees jobs (in full-time equivalent),44077.0
2023,Air passenger transport,,,,additional time series: employees jobs (in full-time equivalent),47678.0
2010,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Transport equipment rental,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Transport equipment rental,,,,additional time series: employees jobs (in full-time equivalent),24773.0
2021,Transport equipment rental,,,,additional time series: employees jobs (in full-time equivalent),29873.0
2022,Transport equipment rental,,,,additional time series: employees jobs (in full-time equivalent),33751.0
2023,Transport equipment rental,,,,additional time series: employees jobs (in full-time equivalent),31106.0
2010,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2011,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2012,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2013,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2014,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2015,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2016,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2017,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2018,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2019,Travel agencies and other reservation service activities,.,,,additional time series: employees jobs (in full-time equivalent),
2020,Travel agencies and other reservation service activities,,,,additional time series: employees jobs (in full-time equivalent),59091.0
2021,Travel agencies and other reservation service activities,,,,additional time series: employees jobs (in full-time equivalent),61658.0
2022,Travel agencies and other reservation service activities,,,,additional time series: employees jobs (in full-time equivalent),66304.0
2023,Travel agencies and other reservation service activities,,,,additional time series: employees jobs (in full-time equivalent),63200.0
2021,Cultural activities,,,,additional time series: employees jobs (in full-time equivalent),40488.0
2022,Cultural activities,,,,additional time series: employees jobs (in full-time equivalent),41359.0
2023,Cultural activities,,,,additional time series: employees jobs (in full-time equivalent),43002.0
2021,Sports and Recreational activities,,,,additional time series: employees jobs (in full-time equivalent),218932.0
2022,Sports and Recreational activities,,,,additional time series: employees jobs (in full-time equivalent),193459.0
2023,Sports and Recreational activities,,,,additional time series: employees jobs (in full-time equivalent),182289.0
